Nazwa produktu,price,1,2,3
"Laptop HP ZBook 14u G5 i5 - 7200U | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 [A-]",1199,b,a,b
"Laptop HP ZBook 14u G5 i5 - 7200U | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]",1199,b,a,b
"Laptop Dell Latitude E5550 i5 - 5300U | 8GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",749,c,a,b
"Laptop Lenovo ThinkPad T540p i5 - 4300M | 8GB 180GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",799,c,a,b
"Laptop Dell Latitude E5550 i5 - 5300U | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",849,c,a,b
"Laptop Dell Latitude E5550 i5 - 5300U | 8GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",849,c,a,b
"Laptop Lenovo ThinkPad T540p i5 - 4300M | 8GB 180GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",888,c,a,b
"Laptop Dell Latitude E5550 i5 - 5300U | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",899,c,a,b
"Laptop Dell Latitude E5550 i5 - 5300U | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",999,c,a,b
"Laptop Dell Latitude E5550 i5 - 5300U | 16GB 960GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1099,c,a,b
"Laptop HP ZBook 15u G3 i7-6500U,  | 16GB 512GB 500GB SSD+HDD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",1199,c,a,b
"Laptop HP ZBook 15u G3 i7-6500U,  | 16GB 512GB 500GB SSD+HDD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1349,c,a,b
"Laptop Dell Latitude E5550 i5 - 5300U | 4GB 120GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1599,c,a,c
"Laptop Apple Apple MacBook Pro A1707 2017r. i7 - 7700H | 16GB 256GB SSD | 15,4"" 2880 x 1800 | Mac OS Ventura [A-]",1799,c,a,c
"Laptop HP ZBook 15 G2 i7 - 4600M | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",899,c,a,b
"Laptop Lenovo ThinkPad W541 i7 - 4800M | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1099,c,a,b
"Laptop HP ZBook 15 G2 i7 - 4700M | 16GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A]",1099,c,a,b
"Laptop HP Zbook 15 G3 i7 - 6700H | 16GB 256GB 1TB SSD+HDD | 15,6"" 1920 x 1080 | Windows 10 lub Windows 11 Pro [A]",1199,c,a,b
"Laptop HP ZBook 15u G6 i7 - 8665U | 16GB 512GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]",1449,c,a,c
"Laptop HP ZBook Firefly 15 G7 i7 - 10610 | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]",1699,c,a,c
"Laptop HP ZBook 15u G6 i7 - 8665U | 16GB 512GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1699,c,a,c
"Laptop Dell Precision 7520 i7 - 6820H | 32GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1749,c,a,c
"Laptop Dell Precision 5520 i7 - 6820H | 32GB 480GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A-]",1899,c,a,c
"Laptop HP ZBook Firefly 15 G7 i7 - 10610 | 16GB 256GB SSD | 15,6"" 1920 x 1080 | Windows 11 Pro [A]",1999,c,a,c
"Laptop Apple Apple MacBook Pro A1707 2017r. | 16GB 500GB SSD | 15,6"" | Mac OS 13, Ventura [A-]",2299,c,a,c
"Laptop Apple Apple MacBook Pro A1707 2017r. | 16GB 500GB SSD | 15,6"" | Mac OS 13, Ventura [A-]",2599,c,a,c
"Laptop Dell XPS 15 9570 i9 - 8950H | 32GB 1TB SSD | 15,6"" 3840 x 2160 | Windows 11 Pro [A]",3999,c,a,c
"Laptop Dell Precision 7730 i7 - 8750H | 32GB 512GB SSD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]",2899,c,a,c
"Laptop HP ZBook 17 G5 i7 - 8850H | 32GB 1TB 500GB SSD+HDD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]",2999,c,a,c
"Laptop HP ZBook 17 G5 i7 - 9850H | 32GB 1TB 1TB SSD+HDD | 17,3"" 1920 x 1080 | Windows 11 Pro [A]",3999,c,a,c
"Laptop Apple Apple MacBook Pro A1990 2019r. i9 - 9880H | 32GB 512GB SSD | 15,6"" 2880 x 1800 | MacOS 13, Ventura [A-]",3090,c,a,c
"Laptop Apple MacBook Pro A2141 2019r. i9 - 9880H | 32GB 1TB SSD | 16"" | MacOS 13, Ventura [A-]",3499,c,a,c
"Laptop Apple MacBook Pro A2141 2019r. i9 - 9880H | 32GB 1TB SSD | 16"" | MacOS 13, Ventura [A]",3999,c,a,c
"Laptop HP ZBook 15 G2 i5 - 4300M | 16GB 240GB SSD | 15,6"" 1920 x 1080 | Windows 10 Professional [A-]",799,c,a,b
"Laptop Asus Chromebook C204E | 4GB 32GB SSD | 11,6"" 1366 x 768 | Chrome OS [A]",222,a,b,a
"Laptop Dell Chromebook 3100 2-in-1 | 4GB 32GB | 11,6"" 1366 x 768 | ChromeOS [A]",299,a,b,a
"Laptop Acer Chromebook R752 | 4GB 32GB | 11,6"" 1366 x 768 | Chrome OS [A]",299,a,b,a
"Laptop Lenovo Miix 510-12IKB i5 - 7200U | 8GB 256GB SSD | 12,2"" 1920 x 1080 | Windows 11 Pro [A-]",799,a,b,b
"Laptop HP EliteBook 820 G3 i5 - 6200U | 8GB 240GB SSD | 12,5"" 1366 x 768 | Windows 10 Professional [A-]",475,a,b,a
"Laptop Dell Latitude 5290 i5 - 7300U | 8GB 256GB SSD | 12,5"" 1366 x 768 | Windows 11 Pro [A-]",549,a,b,a
"Laptop Dell Latitude 5289 i5 - 7300U | 8GB 240GB SSD | 12,5"" 1920 x 1080 | Windows 11 Pro [A-]",599,a,b,a
"Laptop Dell Latitude 5290 i5 - 7300U | 8GB 256GB SSD | 12,5"" 1366 x 768 | Windows 11 Pro [A]",599,a,b,a
"Laptop Dell Latitude 7290 i5 - 7300U | 8GB 256GB SSD | 12,5"" 1366 x 768 | Windows 11 Pro [A]",699,a,b,b
"Laptop Fujitsu Lifebook U728 i5 - 7200U | 16GB 480GB SSD | 12,5"" 1920 x 1080 | Windows 10 lub Windows 11 Pro [A]",699,a,b,b
"Laptop Fujitsu Lifebook U727 i7 - 7600U | 16GB 480GB SSD | 12,5"" 1920 x 1080 | Windows 10 lub 11 Pro [A]",699,a,b,b
"Laptop Dell Latitude E6330 i5 - 3340M | 4GB 120GB SSD | 13,3"" 1366 x 768 | Windows 10 Professional [A]",399,a,b,a
"Laptop HP ProBook 430 G3 i3 - 6100U | 8GB 120GB 500GB SSD+HDD | 13,3"" 1366 x 768 | Windows 11 Pro [A-]",444,a,b,a
"Laptop HP ProBook 430 G3 i5 - 6200U | 8GB 120GB 320GB SSD+HDD | 13,3"" 1366 x 768 | Windows 11 Pro [A-]",499,a,b,a
"Laptop Fujitsu LifeBook E734 i5 - 4300M | 8GB 240GB SSD | 13,3"" 1366 x 768 | Windows 10 Professional [A-]",499,a,b,a
"Laptop HP ProBook 430 G3 i3 - 6100U | 8GB 120GB 500GB SSD+HDD | 13,3"" 1366 x 768 | Windows 11 Pro [A]",499,a,b,a
"Laptop Toshiba Portege R30-A i3 - 4000M | 8GB 240GB SSD | 13,3"" 1366 x 768 | Windows 10 Home [A]",500,a,b,a
"Laptop Lenovo ThinkPad 13 20J1 i5 - 7200U | 8GB 256GB SSD | 13,3"" 1920 x 1080 | Windows 10 Professional [A-]",599,a,b,a
"Laptop HP ProBook 430 G3 i5 - 6200U | 8GB 120GB 320GB SSD+HDD | 13,3"" 1366 x 768 | Windows 11 Professional [A]",599,a,b,a
"Laptop Fujitsu LifeBook T936 i5 - 6300U | 8GB 240GB SSD | 13,3"" 1920 x 1080 | Windows 11 Pro [A-]",649,a,b,a
"Laptop HP ProBook 430 G5 i5 - 8250U | 8GB 240GB 500GB SSD+HDD | 13,3"" 1366 x 768 | Windows 10 Professional [A-]",649,a,b,a
"Laptop HP ProBook 430 G5 i5 - 8250U | 8GB 240GB 500GB SSD+HDD | 13,3"" 1366 x 768 | Windows 10 Professional [A]",749,a,b,b
"Laptop Panasonic ToughBook CF-31 MK3 i5 - 3340M | 16GB 120GB SSD | 13,3"" 1024 x 768 | Windows 10 Pro [A]",899,a,b,b
"Laptop Panasonic ToughBook CF-31 MK5 i5 - 5300U | 16GB 120GB SSD | 13,3"" 1024 x 768 | Windows 10 Pro [A]",1099,a,b,b
"Laptop Dell Latitude E5410 i5 - 430M, | 8GB 240GB SSD | 14"" 1280 x 800 | Windows 10 Professional [A]",425,b,b,a
"Laptop Acer TravelMate P645 i3 - 4010U | 8GB 120GB 500GB SSD+HDD | 14"" 1366 x 768 | Windows 10 Pro [A-]",425,b,b,a
"Laptop Lenovo ThinkPad T440s i5 - 4200U | 8GB 240GB SSD | 14"" 1600 x 900 | Windows 10 Professional [A-]",485,b,b,a
"Laptop Lenovo ThinkPad T440p i5 - 4300M | 16GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A-]",494,b,b,a
"Laptop Dell Latitude E5470 i5 - 6300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A-]",499,b,b,a
"Laptop Lenovo ThinkPad T460 i5 - 6300U | 16GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]",499,b,b,a
"Laptop Fujitsu Lifebook U747 i5 - 6200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]",499,b,b,a
"Laptop Lenovo ThinkPad T460s i5 - 6300U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",499,b,b,a
"Laptop Dell Latitude E5440 i5 - 4300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A-]",499,b,b,a
"Laptop HP EliteBook 840 G3 i5 - 6300U | 8GB 128GB 500GB SSD+HDD | 14"" 1366 x 768 | Windows 10 Professional [A-]",549,b,b,a
"Laptop Dell Latitude E7470 i5 - 6300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]",549,b,b,a
"Laptop Dell Latitude E7450 i5 - 5300U | 8GB 120GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]",555,b,b,a
"Laptop Lenovo ThinkPad T460 i5 - 6300U | 16GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",555,b,b,a
"Laptop Lenovo ThinkPad T470 i5 - 6200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]",575,b,b,a
"Laptop Dell Latitude E6440 i5 - 4300M | 16GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]",599,b,b,a
"Laptop Lenovo ThinkPad T450s i5 - 5300U | 8GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",599,b,b,a
"Laptop Fujitsu Lifebook U747 i5 - 6200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",599,b,b,a
"Laptop Lenovo ThinkPad T440p i5 - 4300M | 16GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",649,b,b,a
"Laptop Lenovo ThinkPad T440 i5 - 4300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]",655,b,b,a
"Laptop HP EliteBook 840 G3 i5 - 6300U | 8GB 128GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]",669,b,b,a
"Laptop Lenovo ThinkPad X1 Yoga 1 gen. i5 - 6200U | 8GB 240GB SSD | 14"" 2560 x 1440 | Windows 10 Professional [A-]",699,b,b,b
"Laptop HP EliteBook 840 G3 i5 - 6300U | 8GB 240GB SSD | 14"" 1366 x 768 | Windows 10 Professional [A]",699,b,b,b
"Laptop Dell Latitude E5470 i5 - 6300U | 8GB 240GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",699,b,b,b
"Laptop Lenovo ThinkPad T470 i5 - 6200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",699,b,b,b
"Laptop Dell Latitude 5480 i5 - 7300U | 8GB 256GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A-]",699,b,b,b
"Laptop Dell Latitude E7470 i5 - 6300U | 8GB 240GB SSD | 14"" 1600 x 900 | Windows 10 Professional [A-]",699,b,b,b
"Laptop Lenovo ThinkPad X1 Yoga 2nd Generation i5 - 7300U | 8GB 256GB SSD | 14"" 2560 x 1440 | Windows 11 Pro [A-]",749,b,b,b
"Laptop Lenovo ThinkPad T480 i5 - 7200U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A-]",749,b,b,b
"Laptop Dell Latitude E7470 i5 - 6300U | 8GB 240GB SSD | 14"" 1920 x 1080 | Windows 11 Pro [A]",749,b,b,b
"Laptop Dell Latitude 5490 i5 - 7300U | 8GB 256GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A-]",749,b,b,b
"Laptop Dell Latitude 5480 i5 - 7300U | 8GB 256GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A]",749,b,b,b
"Laptop Lenovo ThinkPad T440p i7 - 4600M | 16GB 240GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",749,b,b,b
"Laptop Dell Latitude 7480 i5 - 6300U | 16GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A-]",799,b,b,b
"Laptop Dell Latitude 7480 i5 - 6300U | 8GB 256GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",799,b,b,b
"Laptop Lenovo ThinkPad X1 Yoga 1 gen. i7 - 6600U | 8GB 256GB SSD | 14"" 2560 x 1440 | Windows 11 Pro [A-]",799,b,b,b
"Laptop Dell Latitude 5490 i5 - 7300U | 8GB 256GB SSD | 14"" 1366 x 768 | Windows 11 Pro [A]",799,b,b,b
"Laptop Lenovo ThinkPad T470 i5 - 6200U | 16GB 480GB SSD | 14"" 1920 x 1080 | Windows 10 Professional [A]",849,b,b,b
